id,fold,true_y,predicted_y
4736,0,0,0
3444,0,0,0
3116,0,1,0
2340,0,0,0
4199,0,0,0
4805,0,0,0
5248,0,1,1
4833,0,1,1
2637,0,0,0
5402,0,0,0
3883,0,0,0
1289,0,0,0
3555,0,0,0
5471,0,0,0
4631,0,0,0
2457,0,0,0
5032,0,1,1
1669,0,0,0
1576,0,0,0
931,0,1,0
2534,0,0,0
3701,0,0,0
4643,0,0,0
4077,0,0,0
169,0,0,0
574,0,1,0
2881,0,0,0
21,0,1,0
3307,0,0,0
2106,0,0,0
1328,0,0,0
4587,0,1,0
386,0,0,0
4287,0,1,0
3224,0,0,0
5226,0,0,0
1238,0,0,0
3379,0,0,0
2067,0,0,0
1960,0,0,0
4258,0,0,0
4838,0,0,0
1409,0,0,0
200,0,0,0
5657,0,1,0
4411,0,1,1
1236,0,0,0
2403,0,0,0
285,0,0,0
608,0,0,0
1790,0,0,0
3331,0,0,0
3463,0,0,0
4733,0,1,1
4220,0,1,1
3691,0,0,0
3243,0,0,0
116,0,0,0
3766,0,0,0
795,0,0,0
580,0,0,0
4494,0,1,1
2772,0,0,0
3290,0,0,0
2992,0,0,0
5365,0,0,0
4794,0,0,0
1995,0,0,0
4617,0,0,0
592,0,0,0
4670,0,1,1
3521,0,0,0
3349,0,0,0
259,0,0,0
968,0,1,0
1533,0,0,0
1185,0,0,0
2932,0,1,0
2332,0,0,0
4240,0,1,1
308,0,0,0
4300,0,1,1
858,0,0,0
644,0,1,0
2097,0,0,0
5465,0,0,0
3740,0,0,0
4616,0,1,1
3230,0,1,0
2023,0,0,0
2934,0,0,0
2527,0,0,0
5375,0,0,0
354,0,1,0
5040,0,0,1
3671,0,0,0
4929,0,1,1
147,0,0,0
4493,0,1,0
4092,0,1,1
5212,0,0,0
1132,0,0,0
5100,0,0,0
4230,0,1,1
5008,0,1,0
1655,0,0,0
1652,0,0,0
5336,0,0,0
545,0,0,0
2407,0,0,0
1144,0,1,0
3060,0,0,0
4099,0,0,0
3943,0,0,0
2657,0,0,0
2054,0,0,0
4607,0,0,0
1673,0,0,0
3479,0,0,0
5555,0,1,0
1321,0,0,0
1232,0,0,0
2064,0,0,0
44,0,1,0
3167,0,1,0
4904,0,1,1
4855,0,1,1
4322,0,0,0
2846,0,1,0
3696,0,0,0
4396,0,0,0
4,0,1,0
5054,0,0,0
141,0,0,0
2997,0,0,0
1377,0,0,0
1073,0,1,1
941,0,1,0
4715,0,0,0
4331,0,1,1
1540,0,0,0
2084,0,0,0
2742,0,0,0
3733,0,0,0
4511,0,0,1
5048,0,0,0
3514,0,0,0
101,0,1,0
1206,0,0,0
1854,0,0,0
4845,0,1,1
5578,0,1,0
233,0,0,0
496,0,0,0
3861,0,1,1
4158,0,0,0
573,0,0,0
2852,0,1,0
1620,0,0,0
3466,0,1,0
2973,0,0,0
4725,0,1,1
4683,0,0,0
1921,0,1,0
136,0,0,1
3950,0,0,0
2351,0,0,0
2345,0,0,0
1743,0,0,0
1859,0,0,0
1686,0,0,0
2723,0,0,0
343,0,1,1
871,0,0,0
2903,0,1,0
1807,0,0,0
3319,0,1,0
2304,0,0,0
3498,0,1,0
2583,0,0,0
255,0,0,0
33,0,0,0
5569,0,1,0
3619,0,0,0
5009,0,0,0
28,0,0,0
4786,0,0,0
2472,0,0,0
2334,0,0,0
2379,0,0,0
5595,0,1,0
784,0,0,1
5531,0,0,0
4065,0,0,0
420,0,0,0
3833,0,0,0
2705,0,0,0
3523,0,0,0
1621,0,0,0
689,0,0,0
2132,0,0,0
1310,0,0,0
1230,0,0,0
4301,0,0,0
4807,0,1,0
4346,0,1,1
3218,0,0,0
3493,0,0,0
2998,0,0,0
161,0,0,0
4893,0,0,0
4376,0,1,1
2372,0,0,0
428,0,0,0
5638,0,1,0
81,0,1,1
2603,0,0,0
222,0,0,0
4145,0,0,0
1298,0,0,0
4405,0,0,1
4078,0,0,0
3878,0,0,0
250,0,0,0
5163,0,0,0
3869,0,1,0
1634,0,0,0
3272,0,0,0
4894,0,1,1
2707,0,0,0
486,0,0,0
2075,0,0,0
1028,0,1,0
5510,0,0,0
4586,0,0,0
4593,0,0,0
2600,0,1,0
714,0,0,0
3225,0,1,0
1125,0,0,0
1884,0,0,0
1999,0,0,0
4387,0,0,0
4353,0,0,0
2459,0,0,0
694,0,0,0
2305,0,0,0
5503,0,0,0
605,0,1,0
5393,0,0,1
5022,0,1,0
3187,0,0,0
5125,0,1,1
1922,0,1,1
2855,0,0,0
3909,0,0,0
2565,0,0,0
2397,0,0,0
359,0,0,0
4808,0,0,0
2538,0,0,0
383,0,0,0
1723,0,0,0
1827,0,0,0
2150,0,0,0
1005,0,1,1
3501,0,1,0
1626,0,1,0
1078,0,0,0
2246,0,0,0
1791,0,0,0
1197,0,0,0
5303,0,0,0
4651,0,1,1
3071,0,0,0
2179,0,0,0
5220,0,0,0
314,0,1,0
5573,0,1,0
3329,0,0,0
1729,0,0,0
5535,0,0,0
4649,0,1,1
4576,0,0,0
3680,0,0,0
1919,0,1,0
1802,0,0,0
5197,0,0,0
1822,0,0,0
82,0,1,0
3162,0,0,0
407,0,0,0
79,0,0,1
2133,0,0,0
5360,0,0,0
72,0,1,1
1740,0,0,0
2018,0,0,0
325,0,1,0
2157,0,1,0
1406,0,0,0
3192,0,0,0
1079,0,0,0
3113,0,0,0
5208,0,0,0
440,0,0,0
119,0,0,0
125,0,1,0
433,0,1,0
3232,0,0,0
1172,0,1,0
1933,0,0,0
895,0,0,0
1625,0,0,0
808,0,0,0
196,0,0,0
4397,0,1,0
3934,0,0,0
3631,0,0,0
5126,0,1,1
2576,0,0,0
2389,0,0,0
473,0,0,0
2717,0,0,0
5165,0,0,0
2027,0,0,0
4982,0,0,0
5176,0,0,0
4489,0,0,0
447,0,0,0
636,0,0,1
2128,0,0,0
179,0,0,0
5362,0,0,0
3215,0,0,0
669,0,0,0
4274,0,1,1
5574,0,1,1
5091,0,1,0
2517,0,0,0
1662,0,0,0
5437,0,1,1
684,0,0,0
4881,0,1,0
4030,0,0,0
2636,0,0,0
5514,0,1,1
3469,0,0,0
1227,0,0,0
850,0,0,0
4337,0,1,1
2764,0,0,0
2089,0,0,0
943,0,0,0
5469,0,0,0
1038,0,0,0
2174,0,0,0
2916,0,0,0
2541,0,1,0
4278,0,0,0
1387,0,1,0
3813,0,1,0
3416,0,1,0
642,0,0,0
634,0,0,0
4573,0,1,1
4144,0,0,0
1958,0,0,0
3216,0,0,0
1946,0,0,0
1342,0,0,0
3092,0,0,0
4557,0,1,1
1448,0,0,0
2873,0,0,0
2870,0,0,0
1987,0,0,0
4523,0,0,0
3913,0,0,0
667,0,0,0
3583,0,0,0
2805,0,1,0
1928,0,0,0
5037,0,1,1
3991,0,0,0
4088,0,1,0
2819,0,0,0
4463,0,0,0
3455,0,0,0
1495,0,0,0
2318,0,0,0
3762,0,0,0
4468,0,1,1
4172,0,1,1
4839,0,0,1
4679,0,1,1
2854,0,0,0
4970,0,1,1
2617,0,0,0
3650,0,0,0
867,0,1,0
2608,0,0,0
5114,0,0,0
4210,0,0,0
2078,0,0,0
2303,0,0,0
2900,0,0,0
126,0,0,0
2687,0,0,0
1587,0,0,0
4575,0,0,0
2555,0,0,0
1453,0,0,0
5013,0,0,0
3354,0,0,0
1272,0,0,0
1026,0,0,0
4497,0,0,0
4719,0,0,0
4482,0,0,0
1812,0,0,0
881,0,0,0
206,0,0,0
3925,0,0,0
1050,0,0,0
2045,0,0,0
3093,0,0,0
976,0,0,0
1758,0,0,0
5663,0,1,1
623,0,0,0
2090,0,0,0
582,0,0,0
2730,0,0,0
1751,0,0,0
2575,0,1,0
2217,0,0,0
1773,0,0,0
5079,0,0,0
5039,0,0,0
2597,0,0,0
2336,0,0,0
2363,0,1,0
4968,0,0,0
857,0,0,0
1734,0,0,0
3564,0,1,0
313,0,0,0
4370,0,1,0
3223,0,1,1
1309,0,0,0
3694,0,0,0
5565,0,1,1
5633,0,1,1
4758,0,1,1
3239,0,0,0
1441,0,0,0
1783,0,0,0
5429,0,0,0
3976,0,1,1
5241,0,1,0
2963,0,0,0
959,0,0,0
2116,0,0,0
3027,0,1,0
929,0,0,0
2226,0,0,0
5337,0,0,0
5240,0,1,0
2498,0,0,0
4888,0,1,1
1297,0,0,0
2634,0,0,0
5443,0,0,0
906,0,0,0
1061,0,0,0
687,0,1,0
2945,0,1,0
2289,0,0,0
4669,0,1,1
503,0,0,0
1198,0,0,0
840,0,0,0
2847,0,0,0
1840,0,0,0
3160,0,0,0
67,0,0,0
554,0,0,0
1624,0,0,0
4084,0,0,0
192,0,0,0
3341,0,1,0
1373,0,0,0
4465,0,0,0
5363,0,0,0
276,0,0,0
2809,0,0,0
3940,0,0,0
1914,0,0,0
1545,0,0,0
2698,0,0,0
1424,0,0,0
4305,0,0,0
5407,0,0,0
4760,0,0,1
2645,0,0,0
2899,0,0,0
4229,0,1,1
301,0,0,0
4800,0,0,0
2229,0,0,0
3451,0,0,0
4692,0,1,1
58,0,0,0
5273,0,1,0
4422,0,1,0
3409,0,1,0
3777,0,0,0
5560,0,0,1
1117,0,0,0
3376,0,0,0
5486,0,0,0
2907,0,1,0
2450,0,0,0
2918,0,0,0
5650,0,0,0
4698,0,1,1
280,0,0,0
5479,0,0,0
4675,0,1,1
662,0,0,0
231,0,1,0
4436,0,1,1
847,0,0,0
1586,0,0,0
2197,0,0,0
457,0,0,0
5238,0,1,0
645,0,0,0
557,0,1,0
1217,0,0,0
3134,0,0,0
1579,0,0,0
5158,0,0,0
3586,0,0,0
4441,0,1,0
3531,0,0,0
3667,0,0,0
214,0,0,0
783,0,0,0
4827,0,0,0
2198,0,1,0
2429,0,0,0
1785,0,0,0
957,0,0,0
3961,0,0,0
5490,0,0,0
3685,0,0,0
4637,0,0,1
2193,0,1,0
4026,0,0,0
3477,0,0,0
3420,0,0,0
2857,0,0,0
3399,0,1,0
3879,0,0,0
501,0,0,0
4847,0,0,1
5491,0,0,0
2076,0,0,0
1936,0,0,0
4532,0,0,0
1123,0,0,0
1457,0,0,0
3974,0,0,0
3958,0,1,0
4207,0,1,1
5427,0,1,0
566,0,1,0
4385,0,1,1
1011,0,0,0
1947,0,0,0
1064,0,0,0
507,0,0,0
1771,0,0,0
4926,0,1,1
98,0,1,0
1848,0,0,0
899,0,1,0
4435,0,1,1
4636,0,1,1
2605,0,0,0
2678,0,0,0
1941,0,0,0
839,0,0,0
5173,0,0,0
4521,0,0,0
1023,0,1,0
3277,0,0,0
5306,0,0,0
3584,0,0,0
5630,0,1,0
5078,0,1,0
4062,0,1,0
556,0,0,0
2470,0,0,0
2471,0,0,0
3039,0,0,0
2060,0,0,0
538,0,0,0
4155,0,0,0
1909,0,0,0
5552,0,1,1
3881,0,0,0
5185,0,0,0
5342,0,0,0
927,0,0,0
2394,0,0,1
763,0,0,0
1169,0,0,0
792,0,0,0
4548,0,0,0
524,0,0,0
1256,0,0,0
2661,0,0,0
2040,0,0,0
2618,0,0,0
2582,0,0,0
3599,0,0,0
3132,0,0,0
5,0,0,0
5583,0,1,0
4814,0,0,0
4819,0,0,0
544,0,0,0
1385,0,0,0
4091,0,0,0
575,0,0,0
1375,0,0,0
1102,0,0,0
548,0,1,0
5144,0,0,0
3748,0,0,0
2812,0,0,0
3705,0,0,0
1271,0,0,0
1396,0,0,0
3636,0,0,0
513,0,0,0
1498,0,0,0
745,0,0,0
2754,0,0,0
724,0,0,0
4608,0,0,0
1825,0,0,0
3432,0,0,0
3791,0,0,0
3330,0,0,0
62,0,1,0
1720,0,1,0
5436,0,1,0
1163,0,1,0
108,0,0,0
517,0,0,0
5590,0,1,0
4896,0,0,0
1735,0,1,0
45,0,0,0
4639,0,1,1
4455,0,1,0
1435,0,0,0
4282,0,0,0
4442,0,1,1
5343,0,0,0
1242,0,0,0
3948,0,0,0
1179,0,0,1
1750,0,0,0
2479,0,0,0
1768,0,0,0
4991,0,0,0
4194,0,0,0
3185,0,0,0
348,0,1,0
4296,0,1,0
2677,0,0,0
3832,0,0,0
1745,0,0,0
389,0,0,0
4189,0,0,0
5276,0,0,0
3662,0,0,0
589,0,0,0
870,0,0,0
1508,0,0,0
1851,0,0,0
686,0,1,0
729,0,0,0
2451,0,0,0
1247,0,1,0
367,0,1,0
3871,0,0,0
705,0,0,0
2984,0,0,0
5143,0,0,0
1379,0,0,0
3485,0,0,0
643,0,0,0
3528,0,0,0
3732,0,0,0
1447,0,0,0
3079,0,0,0
2827,0,0,0
5646,0,0,0
1056,0,0,0
1499,0,0,0
181,0,0,0
5296,0,1,1
3484,0,0,0
2889,0,1,0
4459,0,0,0
2032,0,0,0
4095,0,0,0
1155,0,0,0
588,0,0,0
5367,0,0,0
1235,0,0,0
1463,0,0,0
3768,0,0,0
1422,0,0,0
3078,0,0,0
555,0,0,0
1081,0,0,0
5385,0,0,0
5291,0,0,0
4563,0,0,0
2577,0,0,0
5311,0,1,0
1913,0,0,0
5516,0,0,0
1833,0,0,0
2105,0,0,0
2712,0,0,0
3977,0,0,0
2948,0,0,0
432,0,0,0
1926,0,0,0
3407,0,0,0
349,0,1,0
5538,0,0,0
2896,0,1,0
4069,0,0,0
984,0,0,0
4776,0,0,0
2796,0,0,0
434,0,0,0
2943,0,0,0
5128,0,1,1
4953,0,1,1
3649,0,0,0
2985,0,1,0
1519,0,0,0
2946,0,1,0
2382,0,0,0
3041,0,0,0
1060,0,0,0
1852,0,0,0
4976,0,1,1
3945,0,0,0
996,0,1,0
3168,0,0,0
3026,0,0,0
600,0,1,0
5277,0,1,1
1990,0,0,0
758,0,0,0
248,0,0,0
1034,0,0,0
940,0,0,0
1074,0,0,0
3741,0,0,0
4682,0,0,0
3507,0,0,0
3104,0,0,0
3144,0,0,0
2185,0,0,0
4934,0,1,1
4478,0,1,0
3338,0,1,0
4005,0,0,0
596,0,1,0
2327,0,0,0
1051,0,0,0
3646,0,0,0
1070,0,0,0
1413,0,0,0
3568,0,0,0
2316,0,0,0
4303,0,0,0
4363,0,0,0
344,0,0,1
1857,0,0,0
701,0,0,0
1016,0,0,0
778,0,1,0
4193,0,0,0
4067,0,0,0
2388,0,0,1
4924,0,1,1
1918,0,1,1
5449,0,0,0
3382,0,1,0
1122,0,0,0
4140,0,0,0
3905,0,0,0
5090,0,1,0
1897,0,0,0
726,0,1,0
5593,0,1,0
2579,0,0,0
1657,0,0,0
102,0,0,0
416,0,0,0
988,0,1,0
5314,0,0,0
2921,0,0,0
1748,0,0,0
275,0,0,0
1961,0,0,0
2652,0,0,0
3100,0,1,0
3923,0,0,0
2667,0,0,0
1356,0,0,0
5289,0,1,0
4718,0,0,0
329,0,1,0
3656,0,0,0
1600,0,0,0
299,0,0,0
3618,0,0,0
4018,0,0,0
3506,0,0,0
5474,0,0,0
366,0,1,0
5494,0,0,0
4292,0,0,0
2989,0,0,0
3317,0,0,0
796,0,0,0
3179,0,1,0
5470,0,1,0
123,0,0,0
1225,0,0,0
2560,0,0,0
3244,0,0,0
1666,0,0,0
3699,0,0,0
4130,0,0,0
2762,0,1,0
799,0,1,0
4843,0,0,0
2025,0,0,0
1651,0,0,0
3789,0,1,0
3296,0,0,0
5230,0,1,0
4177,0,0,0
552,0,1,0
3771,0,0,0
5412,0,0,0
5357,0,0,0
2256,0,0,0
2139,0,0,0
5616,0,1,0
4479,0,0,0
3868,0,0,0
3938,0,0,0
4512,0,1,0
1554,0,1,0
1145,0,1,0
3473,0,0,0
610,0,1,0
2159,0,0,0
3075,0,0,0
560,0,0,0
1410,0,0,0
4834,0,0,0
3443,0,0,0
2456,0,0,1
717,0,0,0
3886,0,0,0
2774,0,1,0
2435,0,1,0
4597,0,0,0
4585,0,1,1
5236,0,0,0
219,0,0,0
2785,0,0,0
2711,0,0,0
1370,0,0,0
4912,0,1,1
2593,0,0,0
3228,0,0,0
2377,0,0,0
2685,0,0,0
3500,0,1,0
3611,0,0,0
5631,0,1,1
1296,0,0,0
3189,0,0,0
100,0,0,0
1326,0,0,0
2505,0,0,0
4956,0,0,1
5476,0,1,0
3920,0,0,0
1727,0,0,0
2253,0,0,0
5332,0,1,0
4223,0,0,0
987,0,0,0
4711,0,0,0
1573,0,0,0
4304,0,1,0
1837,0,0,0
958,0,1,1
2287,0,0,0
2068,0,0,0
4152,0,0,0
5020,0,0,1
1240,0,1,0
1248,0,0,0
2513,0,0,0
1412,0,0,0
3355,0,0,0
4500,0,1,0
5148,0,1,1
3358,0,0,0
5444,0,1,1
4869,0,0,1
4107,0,0,0
2274,0,0,0
5530,0,0,0
1520,0,0,0
2928,0,0,0
4614,0,0,0
372,0,0,0
4232,0,1,1
5081,0,0,0
5113,0,0,0
4072,0,0,1
2949,0,1,0
4674,0,0,1
834,0,1,0
3593,0,0,0
4964,0,0,1
2768,0,0,0
5092,0,0,0
3446,0,0,0
3576,0,0,0
5046,0,0,0
2181,0,0,0
718,0,0,0
3672,0,0,0
1131,0,0,0
2088,0,0,0
4544,0,0,0
205,0,0,0
4667,0,1,1
4696,0,0,0
4882,0,0,0
2922,0,1,1
4367,0,0,0
2241,0,0,0
331,0,1,0
3792,0,0,0
2242,0,0,0
4518,0,0,0
4446,0,0,1
1513,0,0,0
951,0,0,0
5649,0,1,1
5044,0,0,0
244,0,0,0
4852,0,0,0
1134,0,0,0
2584,0,0,0
4181,0,1,1
3381,0,0,0
5198,0,0,0
4673,0,0,0
779,0,1,0
4428,0,0,0
3251,0,0,0
1715,0,0,0
2270,0,0,0
2990,0,1,0
94,0,1,0
4921,0,0,0
5210,0,0,0
57,0,0,0
5334,0,1,1
3076,0,0,0
1660,0,0,0
4887,0,0,0
1504,0,0,0
3518,0,0,0
5049,0,0,0
646,0,1,0
3665,0,0,0
2236,0,0,0
1351,0,0,0
2868,0,1,1
5191,0,0,0
1552,0,0,0
2523,0,0,0
3819,0,0,0
4104,0,0,0
2000,0,0,0
2385,0,0,0
1831,0,0,0
3347,0,0,0
4445,0,1,1
1488,0,0,0
4109,0,0,0
1718,0,0,0
2117,0,0,0
203,0,0,0
4485,0,0,1
4706,0,0,0
3301,0,0,1
4449,0,0,0
1877,0,0,0
2369,0,0,0
1216,0,0,0
2680,0,0,0
3641,0,0,0
4224,0,1,1
5201,0,0,0
1494,0,0,0
3308,0,1,0
3720,0,1,0
2666,0,0,0
1710,0,0,0
3858,0,0,0
3201,0,0,0
2478,0,1,0
2927,0,0,0
761,0,0,0
3015,0,0,0
1159,0,0,0
5431,0,1,0
4588,0,0,0
190,0,0,0
4985,0,0,0
462,0,0,0
484,0,0,0
1300,0,0,0
3107,0,1,0
5511,0,0,0
2331,0,0,0
4348,0,0,0
1518,0,0,0
110,0,0,0
5457,0,0,0
1246,0,1,0
4762,0,0,0
4484,0,1,0
4460,0,1,1
3752,0,1,0
232,0,0,0
2300,0,0,0
1262,0,0,0
5442,0,0,0
1850,0,0,0
3773,0,1,1
4306,0,1,1
3327,0,1,0
4248,0,0,0
933,0,0,0
1045,0,0,0
3052,0,0,0
448,0,1,0
453,0,0,0
1139,0,0,0
12,0,0,0
3300,0,0,0
4825,0,0,0
4165,0,1,1
4126,0,0,0
5416,0,0,0
3269,0,0,0
1021,0,1,0
836,0,0,0
1988,0,0,0
4157,0,0,0
2378,0,0,0
2488,0,1,1
3309,0,0,0
4603,0,0,0
4421,0,1,0
4854,0,0,0
863,0,1,0
104,0,1,0
1865,0,0,0
516,0,0,0
3387,0,0,0
5319,0,0,0
1456,0,0,0
2273,0,0,0
1796,0,0,0
4239,0,0,0
159,0,0,0
3357,0,0,0
1162,0,1,0
3570,0,0,0
678,0,0,0
1264,0,0,0
3032,0,0,0
165,0,0,0
2445,0,0,0
2093,0,0,0
394,0,0,0
2702,0,1,0
3372,0,0,0
4681,0,0,0
4659,0,0,1
2506,0,1,0
995,0,0,0
1560,0,0,0
3780,0,1,0
3565,0,1,0
3669,0,0,0
2442,0,0,0
1233,0,0,0
3595,0,0,0
4291,0,1,0
5584,0,1,1
37,0,1,0
3405,0,0,0
4139,0,0,0
1885,0,0,0
4775,0,1,1
3229,0,0,0
3513,0,0,0
3126,0,0,0
322,0,1,0
11,0,1,1
17,0,0,0
2646,0,0,0
2257,0,0,0
5624,0,1,0
3806,0,0,0
3275,0,0,0
1882,0,0,0
1578,0,0,0
5242,0,1,1
579,0,1,0
19,0,1,0
3660,0,0,0
3512,0,0,0
5359,0,0,0
4008,0,0,0
2550,0,0,0
5391,0,0,0
4359,0,0,0
5179,0,0,0
4171,0,0,1
2800,0,0,0
2520,0,1,0
494,0,0,0
4777,0,1,0
3434,0,0,0
3242,0,0,0
4265,0,0,0
4413,0,0,0
4307,0,1,0
1613,0,0,0
1749,0,0,0
2761,0,0,0
4103,0,0,0
5653,0,1,1
1528,0,0,0
1753,0,1,0
324,0,1,1
1892,0,0,0
86,0,1,1
2909,0,0,0
90,0,0,0
4654,0,1,0
2987,0,0,0
4211,0,0,0
480,0,0,0
4757,0,1,1
157,0,0,0
4249,0,0,0
2706,0,0,0
5456,0,0,0
4148,0,0,0
3639,0,0,0
5267,0,1,1
1044,0,0,0
3181,0,0,0
4457,0,1,0
2142,0,0,0
2720,0,0,0
2271,0,0,0
3612,0,0,0
3023,0,0,0
1963,0,1,0
4038,0,1,0
3,0,0,0
230,0,0,0
5549,0,1,1
1615,0,0,0
1004,0,0,0
5262,0,0,0
3388,0,0,0
965,0,0,0
1924,0,0,0
1113,0,0,0
2282,0,0,0
1938,0,0,0
5635,0,1,1
2838,0,0,0
3935,0,0,0
3516,0,1,0
3253,0,0,0
1642,0,0,0
2738,0,0,0
2262,0,0,0
3295,0,0,0
3588,0,1,0
3884,0,0,0
1039,0,1,0
4198,0,0,0
4119,0,1,0
5065,0,0,1
3067,0,0,0
393,0,0,0
3274,0,0,0
2418,0,0,0
551,0,0,0
2756,0,0,0
4632,0,1,1
1344,0,1,0
2908,0,1,0
1683,0,0,0
2514,0,1,1
1814,0,0,0
1497,0,0,0
3757,0,0,0
703,0,0,1
823,0,0,0
1784,0,0,0
5625,0,1,1
4750,0,0,0
2015,0,0,0
4351,0,0,0
901,0,0,0
4515,0,0,0
4127,0,0,0
1764,0,0,0
2950,0,0,0
659,0,1,0
3689,0,0,0
5399,0,1,0
994,0,0,0
5395,0,0,0
2739,0,1,0
5452,0,0,0
3111,0,0,0
3594,0,0,0
1687,0,0,0
1126,0,0,0
3645,0,0,0
3946,0,0,0
218,0,0,0
2740,0,0,0
1403,0,0,0
771,0,1,0
13,0,0,0
1476,0,0,0
1160,0,0,1
4543,0,0,0
4690,0,0,0
1907,0,0,0
133,0,0,0
2213,0,0,0
4913,0,0,0
827,0,0,0
3390,0,1,0
1381,0,0,0
5380,0,0,0
3005,0,0,1
2107,0,0,0
1832,0,0,0
2415,0,0,0
5106,0,0,0
1998,0,0,0
3551,0,0,0
1697,0,0,0
1094,0,1,0
5364,0,0,0
5582,0,0,1
622,0,1,0
2252,0,0,0
4245,0,1,0
2954,0,0,0
804,0,0,0
1030,0,0,0
587,0,0,0
4394,0,0,0
1916,0,0,0
4914,0,0,0
1534,0,0,0
593,0,1,0
4939,0,0,0
4905,0,1,1
2653,0,0,0
2423,0,0,0
756,0,0,0
757,0,0,0
2753,0,0,0
599,0,0,1
3837,0,1,0
3553,0,0,0
358,0,1,0
3369,0,0,0
998,0,0,0
5117,0,0,0
4784,0,1,1
3366,0,0,0
2784,0,0,0
661,0,0,0
2606,0,0,0
1691,0,0,0
191,0,0,0
4846,0,1,1
4550,0,0,0
2362,0,0,0
4480,0,0,0
3339,0,0,0
2338,0,0,0
197,0,0,0
3722,0,1,0
3459,0,0,0
2320,0,0,0
1404,0,0,0
256,0,0,0
3970,0,0,0
5329,0,0,0
2313,0,0,0
5487,0,0,0
4327,0,1,1
3375,0,0,0
3635,0,0,0
246,0,0,0
1213,0,0,0
1037,0,0,0
471,0,0,0
2414,0,0,0
759,0,0,0
4357,0,0,0
1042,0,0,0
851,0,0,0
2781,0,0,0
2408,0,0,0
1364,0,0,0
3205,0,0,0
891,0,0,0
273,0,0,0
5225,0,0,0
2037,0,0,0
4329,0,0,0
5249,0,1,0
99,0,1,0
5047,0,0,0
1681,0,0,0
335,0,1,0
4522,0,0,1
1121,0,1,0
5134,0,0,0
40,0,1,0
2804,0,0,0
4201,0,0,0
5445,0,0,0
2894,0,0,0
2694,0,0,0
4998,0,0,0
2390,0,0,0
4447,0,0,1
2615,0,0,0
5617,0,1,1
306,0,0,0
1249,0,0,0
2490,0,0,0
1564,0,0,0
1971,0,0,0
3770,0,0,0
2265,0,0,0
553,0,0,0
4590,0,0,0
2625,0,1,0
1253,0,0,0
1041,0,0,0
188,0,0,0
1577,0,0,0
3876,0,0,0
1929,0,0,0
5453,0,0,0
1993,0,0,0
685,0,1,0
2346,0,0,0
